country,city,s1_scene_file,s2_scene_file,s1_datetime_utc,s2_datetime_utc,pair_gap_days,orbit,polarizations,s1_product_id,s2_product_id
Turkiye,Bursa,Turkiye_Bursa_S1_2023-01-01_2023-01-01_04_06_46_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Bursa_S2_2023-01-09_2023-01-09_08_59_12_RGB_BuiltUpMain.tif,2023-01-01 04:06:46,2023-01-09 08:59:12,8.2031,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230101T040646_20230101T040711_046585_059533_EA58,20230109T085331_20230109T085732_T35TPE
Turkiye,Denizli,Turkiye_Denizli_S1_2023-03-26_2023-03-26_04_07_34_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Denizli_S2_2023-03-20_2023-03-20_08_59_56_RGB_BuiltUpMain.tif,2023-03-26 04:07:34,2023-03-20 08:59:56,5.797,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230326T040734_20230326T040759_047810_05BE7D_67B2,20230320T084651_20230320T085613_T35SPB
Turkiye,Diyarbakir,Turkiye_Diyarbakir_S1_2023-02-24_2023-02-24_03_18_02_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Diyarbakir_S2_2023-02-26_2023-02-26_08_19_21_RGB_BuiltUpMain.tif,2023-02-24 03:18:02,2023-02-26 08:19:21,2.2092,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230224T031802_20230224T031827_047372_05AFA5_A511,20230226T080911_20230226T081234_T37SEC
Turkiye,Erzurum,Turkiye_Erzurum_S1_2023-01-24_2023-01-24_03_25_28_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Erzurum_S2_2023-01-02_2023-01-02_08_18_49_RGB_BuiltUpMain.tif,2023-01-24 03:25:28,2023-01-02 08:18:49,21.7963,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230124T032528_20230124T032553_046920_05A084_EF46,20230102T081239_20230102T081235_T37TFE
Turkiye,Eskisehir,Turkiye_Eskisehir_S1_2023-03-21_2023-03-21_03_58_35_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Eskisehir_S2_2023-03-20_2023-03-20_08_59_18_RGB_BuiltUpMain.tif,2023-03-21 03:58:35,2023-03-20 08:59:18,0.7912,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230321T035835_20230321T035900_047737_05BC08_4DD6,20230320T084651_20230320T085613_T36SUJ
Turkiye,Gaziantep,Turkiye_Gaziantep_S1_2023-01-05_2023-01-05_03_34_54_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Gaziantep_S2_2023-01-05_2023-01-05_08_29_53_RGB_BuiltUpMain.tif,2023-01-05 03:34:54,2023-01-05 08:29:53,0.2048,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230105T033454_20230105T033519_046643_05972C_89C0,20230105T082239_20230105T082246_T37SCA
Turkiye,Hatay,Turkiye_Hatay_S1_2023-02-10_2023-02-10_03_34_52_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Hatay_S2_2023-02-09_2023-02-09_08_29_58_RGB_BuiltUpMain.tif,2023-02-10 03:34:52,2023-02-09 08:29:58,0.7951,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230210T033452_20230210T033517_047168_05A8CD_4E0E,20230209T082111_20230209T082246_T37SBA
Turkiye,Istanbul,Turkiye_Istanbul_S1_2023-01-06_2023-01-06_04_14_53_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Istanbul_S2_2023-01-09_2023-01-09_08_58_57_RGB_BuiltUpMain.tif,2023-01-06 04:14:53,2023-01-09 08:58:57,3.1973,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230106T041453_20230106T041518_046658_0597A2_B268,20230109T085331_20230109T085732_T35TPF
Turkiye,Kayseri,Turkiye_Kayseri_S1_2023-01-22_2023-01-22_03_42_23_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Kayseri_S2_2023-01-20_2023-01-20_08_29_26_RGB_BuiltUpMain.tif,2023-01-22 03:42:23,2023-01-20 08:29:26,1.8007,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230122T034223_20230122T034248_046891_059F84_8018,20230120T082241_20230120T082244_T36SYH
Turkiye,Kocaeli,Turkiye_Kocaeli_S1_2023-03-14_2023-03-14_04_06_44_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Kocaeli_S2_2023-01-09_2023-01-09_08_58_54_RGB_BuiltUpMain.tif,2023-03-14 04:06:44,2023-01-09 08:58:54,63.7971,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230314T040644_20230314T040709_047635_05B898_7782,20230109T085331_20230109T085732_T35TQF;20230109T085331_20230109T085732_T36TTL
